date,country,state,city,ibgeID,newCases,totalCases,last_update
2020-03-14,Brazil,SP,Carapicuíba/SP,3510609,1,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,ES,Vitória/ES,3205309,1,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,ES,Linhares/ES,3203205,1,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,SE,Aracaju/SE,2800308,1,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,MG,Patrocínio/MG,3148103,1,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,PE,Recife/PE,2611606,4,6,2020-03-26 15:52:09.506563
2020-03-14,Brazil,PE,ESTRANGEIRO/PE,26,1,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,SC,Rancho Queimado/SC,4214300,2,2,2020-03-26 15:52:09.506563
2020-03-14,Brazil,GO,Goiânia/GO,5208707,1,3,2020-03-26 15:52:09.506563
2020-03-14,Brazil,RS,Porto Alegre/RS,4314902,1,5,2020-03-26 15:52:09.506563
2020-03-14,Brazil,DF,Brasília/DF,5300108,5,8,2020-03-26 15:52:09.506563
2020-03-14,Brazil,RJ,Rio de Janeiro/RJ,3304557,5,22,2020-03-26 15:52:09.506563
2020-03-14,Brazil,BA,Feira de Santana/BA,2910800,0,4,2020-03-26 15:52:09.506563
2020-03-14,Brazil,ES,Vila Velha/ES,3205200,0,2,2020-03-26 15:52:09.506563
2020-03-14,Brazil,MG,Juiz de Fora/MG,3136702,1,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,SC,Florianópolis/SC,4205407,0,2,2020-03-26 15:52:09.506563
2020-03-14,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,TOTAL,TOTAL,4209102,27,147,2020-03-26 15:52:09.506563
2020-03-14,Brazil,SC,Joinville/SC,4209102,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,BA,Salvador/BA,2927408,0,3,2020-03-26 15:52:09.506563
2020-03-14,Brazil,RN,Natal/RN,2408102,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,GO,Rio Verde/GO,5218805,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,MG,Ipatinga/MG,3131307,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,AM,Manaus/AM,1302603,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,PR,Cianorte/PR,4105508,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,PR,Curitiba/PR,4106902,0,5,2020-03-26 15:52:09.506563
2020-03-14,Brazil,RS,Caxias do Sul/RS,4305108,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,RS,Campo Bom/RS,4303905,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,RJ,Niterói/RJ,3303302,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,BA,Feira de Santana/BA,2910800,1,4,2020-03-26 15:52:09.506563
2020-03-13,Brazil,SP,São Paulo/SP,3550308,0,62,2020-03-26 15:52:09.506563
2020-03-13,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,DF,Brasília/DF,5300108,0,3,2020-03-26 15:52:09.506563
2020-03-13,Brazil,ES,Vila Velha/ES,3205200,0,2,2020-03-26 15:52:09.506563
2020-03-13,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,BA,Salvador/BA,2927408,3,3,2020-03-26 15:52:09.506563
2020-03-13,Brazil,SC,Joinville/SC,4209102,1,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,AM,Manaus/AM,1302603,1,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,RS,Porto Alegre/RS,4314902,2,4,2020-03-26 15:52:09.506563
2020-03-13,Brazil,RJ,Rio de Janeiro/RJ,3304557,3,17,2020-03-26 15:52:09.506563
2020-03-13,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,RS,Caxias do Sul/RS,4305108,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,RJ,Niterói/RJ,3303302,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,MG,Ipatinga/MG,3131307,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,RS,Campo Bom/RS,4303905,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,TOTAL,TOTAL,2408102,11,120,2020-03-26 15:52:09.506563
2020-03-13,Brazil,RN,Natal/RN,2408102,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,GO,Goiânia/GO,5208707,0,2,2020-03-26 15:52:09.506563
2020-03-13,Brazil,GO,Rio Verde/GO,5218805,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,SC,Florianópolis/SC,4205407,0,2,2020-03-26 15:52:09.506563
2020-03-13,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,PR,Cianorte/PR,4105508,0,1,2020-03-26 15:52:09.506563
2020-03-13,Brazil,PR,Curitiba/PR,4106902,0,5,2020-03-26 15:52:09.506563
2020-03-13,Brazil,PE,Recife/PE,2611606,0,2,2020-03-26 15:52:09.506563
2020-03-12,Brazil,PE,Recife/PE,2611606,2,2,2020-03-26 15:52:09.506563
2020-03-12,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,1,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,PR,Cianorte/PR,4105508,1,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,PR,Curitiba/PR,4106902,5,5,2020-03-26 15:52:09.506563
2020-03-12,Brazil,RS,Caxias do Sul/RS,4305108,1,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,MG,Ipatinga/MG,3131307,1,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,RS,Porto Alegre/RS,4314902,1,2,2020-03-26 15:52:09.506563
2020-03-12,Brazil,SP,São Paulo/SP,3550308,18,62,2020-03-26 15:52:09.506563
2020-03-12,Brazil,DF,Brasília/DF,5300108,1,3,2020-03-26 15:52:09.506563
2020-03-12,Brazil,RJ,Rio de Janeiro/RJ,3304557,2,14,2020-03-26 15:52:09.506563
2020-03-12,Brazil,ES,Vila Velha/ES,3205200,1,2,2020-03-26 15:52:09.506563
2020-03-12,Brazil,SC,Florianópolis/SC,4205407,2,2,2020-03-26 15:52:09.506563
2020-03-12,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,GO,Rio Verde/GO,5218805,1,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,RN,Natal/RN,2408102,1,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,BA,Feira de Santana/BA,2910800,0,3,2020-03-26 15:52:09.506563
2020-03-12,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,RJ,Niterói/RJ,3303302,0,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,RS,Campo Bom/RS,4303905,0,1,2020-03-26 15:52:09.506563
2020-03-12,Brazil,TOTAL,TOTAL,4303905,40,109,2020-03-26 15:52:09.506563
2020-03-12,Brazil,GO,Goiânia/GO,5208707,2,2,2020-03-26 15:52:09.506563
2020-03-11,Brazil,DF,Brasília/DF,5300108,0,2,2020-03-26 15:52:09.506563
2020-03-11,Brazil,SP,São Paulo/SP,3550308,26,44,2020-03-26 15:52:09.506563
2020-03-11,Brazil,BA,Feira de Santana/BA,2910800,1,3,2020-03-26 15:52:09.506563
2020-03-11,Brazil,RJ,Rio de Janeiro/RJ,3304557,6,12,2020-03-26 15:52:09.506563
2020-03-11,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-11,Brazil,ES,Vila Velha/ES,3205200,0,1,2020-03-26 15:52:09.506563
2020-03-11,Brazil,RS,Porto Alegre/RS,4314902,1,1,2020-03-26 15:52:09.506563
2020-03-11,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-11,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-11,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-11,Brazil,RJ,Niterói/RJ,3303302,0,1,2020-03-26 15:52:09.506563
2020-03-11,Brazil,RS,Campo Bom/RS,4303905,0,1,2020-03-26 15:52:09.506563
2020-03-11,Brazil,TOTAL,TOTAL,4303905,34,69,2020-03-26 15:52:09.506563
2020-03-10,Brazil,SP,São Paulo/SP,3550308,3,18,2020-03-26 15:52:09.506563
2020-03-10,Brazil,DF,Brasília/DF,5300108,1,2,2020-03-26 15:52:09.506563
2020-03-10,Brazil,RS,Campo Bom/RS,4303905,1,1,2020-03-26 15:52:09.506563
2020-03-10,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-10,Brazil,ES,Vila Velha/ES,3205200,0,1,2020-03-26 15:52:09.506563
2020-03-10,Brazil,BA,Feira de Santana/BA,2910800,0,2,2020-03-26 15:52:09.506563
2020-03-10,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,6,2020-03-26 15:52:09.506563
2020-03-10,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-10,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-10,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-10,Brazil,RJ,Niterói/RJ,3303302,0,1,2020-03-26 15:52:09.506563
2020-03-10,Brazil,TOTAL,TOTAL,3303302,5,35,2020-03-26 15:52:09.506563
2020-03-09,Brazil,BA,Feira de Santana/BA,2910800,0,2,2020-03-26 15:52:09.506563
2020-03-09,Brazil,RJ,Niterói/RJ,3303302,1,1,2020-03-26 15:52:09.506563
2020-03-09,Brazil,SP,São Paulo/SP,3550308,0,15,2020-03-26 15:52:09.506563
2020-03-09,Brazil,RJ,Rio de Janeiro/RJ,3304557,4,6,2020-03-26 15:52:09.506563
2020-03-09,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-09,Brazil,ES,Vila Velha/ES,3205200,0,1,2020-03-26 15:52:09.506563
2020-03-09,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-09,Brazil,DF,Brasília/DF,5300108,0,1,2020-03-26 15:52:09.506563
2020-03-09,Brazil,TOTAL,TOTAL,3122306,5,30,2020-03-26 15:52:09.506563
2020-03-09,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-09,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-08,Brazil,TOTAL,TOTAL,5300108,6,25,2020-03-26 15:52:09.506563
2020-03-08,Brazil,DF,Brasília/DF,5300108,0,1,2020-03-26 15:52:09.506563
2020-03-08,Brazil,BA,Feira de Santana/BA,2910800,0,2,2020-03-26 15:52:09.506563
2020-03-08,Brazil,ES,Vila Velha/ES,3205200,0,1,2020-03-26 15:52:09.506563
2020-03-08,Brazil,MG,Divinópolis/MG,3122306,1,1,2020-03-26 15:52:09.506563
2020-03-08,Brazil,SP,Santana de Parnaíba/SP,3547304,1,1,2020-03-26 15:52:09.506563
2020-03-08,Brazil,AL,Maceió/AL,2704302,1,1,2020-03-26 15:52:09.506563
2020-03-08,Brazil,RJ,Rio de Janeiro/RJ,3304557,1,2,2020-03-26 15:52:09.506563
2020-03-08,Brazil,SP,São Paulo/SP,3550308,2,15,2020-03-26 15:52:09.506563
2020-03-08,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-07,Brazil,SP,São Paulo/SP,3550308,3,13,2020-03-26 15:52:09.506563
2020-03-07,Brazil,DF,Brasília/DF,5300108,1,1,2020-03-26 15:52:09.506563
2020-03-07,Brazil,BA,Feira de Santana/BA,2910800,1,2,2020-03-26 15:52:09.506563
2020-03-07,Brazil,RJ,Rio de Janeiro/RJ,3304557,1,1,2020-03-26 15:52:09.506563
2020-03-07,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-07,Brazil,ES,Vila Velha/ES,3205200,0,1,2020-03-26 15:52:09.506563
2020-03-07,Brazil,TOTAL,TOTAL,3205200,6,19,2020-03-26 15:52:09.506563
2020-03-06,Brazil,TOTAL,TOTAL,3205200,5,13,2020-03-26 15:52:09.506563
2020-03-06,Brazil,ES,Vila Velha/ES,3205200,0,1,2020-03-26 15:52:09.506563
2020-03-06,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-06,Brazil,BA,Feira de Santana/BA,2910800,1,1,2020-03-26 15:52:09.506563
2020-03-06,Brazil,SP,São Paulo/SP,3550308,4,10,2020-03-26 15:52:09.506563
2020-03-05,Brazil,TOTAL,TOTAL,3205200,5,8,2020-03-26 15:52:09.506563
2020-03-05,Brazil,ES,Vila Velha/ES,3205200,1,1,2020-03-26 15:52:09.506563
2020-03-05,Brazil,RJ,Barra Mansa/RJ,3300407,1,1,2020-03-26 15:52:09.506563
2020-03-05,Brazil,SP,São Paulo/SP,3550308,3,6,2020-03-26 15:52:09.506563
2020-03-04,Brazil,TOTAL,TOTAL,3550308,1,3,2020-03-26 15:52:09.506563
2020-03-04,Brazil,SP,São Paulo/SP,3550308,1,3,2020-03-26 15:52:09.506563
2020-02-29,Brazil,SP,São Paulo/SP,3550308,1,2,2020-03-26 15:52:09.506563
2020-02-29,Brazil,TOTAL,TOTAL,3550308,1,2,2020-03-26 15:52:09.506563
2020-02-25,Brazil,TOTAL,TOTAL,3550308,1,1,2020-03-26 15:52:09.506563
2020-02-25,Brazil,SP,São Paulo/SP,3550308,1,1,2020-03-26 15:52:09.506563
